C(=O)(c1ccc(cc1)OC(=O)C)O	L6J BVQ EOV1
o1c(nnc1c1ccc(N)cc1)c1ccc(N)cc1	L5 BO DNNJ A- BL6J EZ& C- BL6J EZ
C(=O)(c1c(cc(cc1)N)Cl)O	L6J AG BVQ EZ
C(=N)(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1.Cl	L6J BY- BL6J EN1&1&UM EN1&1 &GH
N(c1ccc(cc1)N=Nc1ccccc1)(CC)CC	L6J BN2&2 ENUN- BL6J
C(=O)(c1cc(c(cc1)Cl)S(=O)(=O)Cl)O	L6J BVQ EG FSWG
Nc1ccc(cc1)N1CCOCC1	L6J BZ E- BL6 BN EOTJ
N(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])c1ccccc1	L6J BM- BL6J& ENUN- BL6J EKW
c1(c(c(c(c(c1[N+](=O)[O-])Cl)[N+](=O)[O-])Cl)[N+](=O)[O-])Cl	L6J AKW BG CKW DG EKW FG
C(=O)(c1c(cccc1)N=Nc1ccc(cc1)N(CCC)CCC)O	L6J ANUN- BL6J EN3&3& BVQ
C(=O)c1ccc(cc1)N(CC)CCCl	L6J BV EN2G2
Nc1cc(ccc1)Oc1ccc(cc1)N	L6J BZ FO- BL6J EZ
Nc1ccccc1Oc1ccccc1	L6J BZ CO- BL6J
Nc1ccc(cc1)CCC	L6J BZ E3
Nc1ccccc1CCCC	L6J BZ C4
Nc1ccc(cc1OC)OC	L6J BZ CO1 EO1
C(=O)(c1cc(ccc1OC)OC)O	L6J BVQ CO1 FO1
N(c1ccc(cc1)C(C)(C)C)(C)C	L6J BN1&1 EX1&1&1
Nc1ccccc1SC	L6J BZ CS1
C(=O)(c1c(ccc(c1)F)F)O	L6J AF BVQ DF
N(c1ccccc1)CCCCCCCCCCCC	L6J BM12
N(c1ccc(cc1)N=Nc1ccc(cc1)C)(C)C	L6J BN1&1 ENUN- BL6J E1
N(c1ccc(cc1)N=Nc1ccc(cc1)OCC)(CC)CC	L6J BN2&2 ENUN- BL6J EO2
N(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])(CC)CC	L6J BN2&2 ENUN- BL6J EKW
N(c1ccccc1)CCC[Si](OC)(OC)OC	L6J BM3-SI-O1&O1&O1
C(=O)(c1c(cc(c(c1)S(=O)(=O)N)Cl)N)O	L6J AZ BVQ DSWZ EG
C(=O)(c1ccccc1)O.NC1CCCCC1	L6J BVQ &L6TJ BZ
C(=O)c1cc(ccc1)Br	L6J BV FE
Nc1ccccc1C1CC1	L3TJ B- CL6J BZ
C(=O)c1ccc(cc1)c1ccccc1	L6J BV E- BL6J
C(=O)c1ccc(cc1)SC	L6J BV ES1
C(=O)(c1ccc(cc1)CCCCCCCC)O	L6J BVQ E8
Nc1cc(ccc1)Oc1ccccc1	L6J BZ FO- BL6J
Nc1c(ccc(c1)Br)Br	L6J AE BZ DE
C(=NO)c1c(cccc1)Cl	L6J AG B1UNQ
N(c1ccc(cc1)N=Nc1c(cccc1)C)(C)C	L6J BN1&1 ENUN- BL6J A1
C(=O)(c1cc(ccc1)Oc1ccccc1)O	L6J BVQ FO- BL6J
C(=O)(c1c(cc(c(c1)S(=O)(=O)Cl)Cl)Cl)O	L6J AG BVQ DSWG EG
C(COc1ccc(C(=O)O)cc1)Oc1ccc(C(=O)O)cc1	L6J BO2O- BL6J EVQ& EVQ
Nc1c(cccc1)Oc1c(cccc1)C	L6J AO- BL6J A1& BZ
Nc1cc(c(cc1)F)F	L6J BZ EF FF
c1cc(cc(c1)C(=O)O)S(=O)(=O)Cl	L6J DVQ FSWG
C(=O)(c1ccc(cc1)S(=O)(=O)C)O	L6J BVQ ESW1
Nc1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H]	L6J AH BZ CH DH EH FH
C(=O)(c1ccccc1)O.C(CN)O	L6J BVQ &Z2Q
Nc1ccc(cc1)OCCCC	L6J BZ EO4
Nc1ccc(cc1)OCCC	L6J BZ EO3
Nc1c(c(ccc1)F)F	L6J AF BZ FF
C(=O)c1ccc(cc1)CC	L6J BV E2
C(=O)(c1c(cccc1)C(=O)c1c(cc(cc1)OC)O)O	L6J AV- BL6J AQ EO1& BVQ
C(=O)(c1c(cccc1)CCc1ccccc1)O	L6J A2- BL6J& BVQ
C(=O)(c1c(cccc1)C(=O)c1cccc2ccccc12)O	L6J AV- EL66J& BVQ
N(c1ccc(cc1)OCC1CO1)(CC1CO1)CC1CO1	L3 COTJ B1O- EL6J BN1- BL3 COTJ&1- BL3 COTJ
C(=O)(c1c(cccc1)C(=O)c1cc(c(cc1)Cl)S(=O)(=O)N)O	L6J AV- BL6J EG FSWZ& BVQ
