Z1YQ1	CC(CN)O
T5OJ B1MR CG FVQ DSZW	C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
T6NJ BVQ E4	CCCCC1=CN=C(C=C1)C(=O)O
QVR BQ EQ	C1=CC(=C(C=C1O)C(=O)O)O
VH3VH	C(CC=O)CC=O
T6VMVTJ D2 DR	CCC1(CCC(=O)NC1=O)C2=CC=CC=C2
QV1M1PQQO	C(C(=O)O)NCP(=O)(O)O
L E5 B765 A 1B P BXTJ AQ DQ EQ F1 F1 GQ JQ J1 OQ O1	CC1(C(CC2C1(C(CC34CC(C(C3O)CCC4C2(C)O)(C)O)O)O)O)C
L57J B1 F1 IY1&1	CC1=C2C=CC(=C2C=C(C=C1)C(C)C)C
Q1YQ1OR BO1	COC1=CC=CC=C1OCC(CO)O
QVR DSWNGG	C1=CC(=CC=C1C(=O)O)S(=O)(=O)N(Cl)Cl
T6NTJ A3VR DF& DQ DR DG	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
I1UU2OR BG DG EG	C1=C(C(=CC(=C1Cl)Cl)Cl)OCC#CI
GYEXFFF	C(C(F)(F)F)(Cl)Br
L C555 A DU IUTJ AG AG BG FG HG IG JG	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl
T66 BO EVT&J CR CQ DO1& GQ IO- BT6OTJ CQ DQ EQ F1O- BT6OTJ CQ DQ EQ F1 GLUCO RHAMNO	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
QR BG DG EG F1R BQ CG EG FG	C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl
T6VMVNV FHJ D1 F1 F- AL6UTJ	CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2
QR CQ D6	CCCCCCC1=C(C=C(C=C1)O)O
L7VJ BQ DY1&1	CC(C)C1=CC(=O)C(=CC=C1)O
T C666 BS IVJ D1Q GM2N2&2	CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O
T66 CNNJ BMZ	C1=CC=C2C(=C1)C=NN=C2NN
T66 BSWM EM DHJ HG ISZW	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
T66 BSWM EM DHJ HXFFF ISZW	C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1
Z3R DQ	CC(CC1=CC=C(C=C1)O)N
ZVMQ	C(=O)(N)NO
T6N DNTJ AYR&R D6& D2O2Q	C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
QVY&R DIY	CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
2N2 & 1VMR B1 F1	CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
Q1YQ1O18	CCCCCCCCCCCCCCCCCCOCC(CO)O
T6NVMVJ EI A- ET5OTJ B1Q CQ	C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O
T6NPOTJ AM2G BO B2G	C1CN(P(=O)(OC1)NCCCl)CCCl
T C676 BN&T&J B3N1&1	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
ZV1I	C(C(=O)N)I
T66 BNJ GI II JQ	C1=CC2=C(C(=C(C=C2I)I)O)N=C1
ZR BI DI FI C1Y2 & VQ	CCC(CC1=C(C(=C(C=C1I)I)N)I)C(=O)O
T56 BM DN FNVNVJ F1Y1&1 H1	CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2
T5NOJ C1 EVMM1R	CC1=CC(=NO1)C(=O)NNCC2=CC=CC=C2
T6NJ DVMZ	C1=CN=CC=C1C(=O)NN
QY1&1	CC(C)O
QR BQ DYQ1MY1&1	CC(C)NCC(C1=CC(=C(C=C1)O)O)O
L66 BV EVJ GQ	C1=CC2=C(C(=O)C=CC2=O)C(=C1)O
T C566 DO JV MOJ BO1 HO1 L1	CC1=CC(=O)C2=C(C3=C(C(=C2O1)OC)OC=C3)OC
T6O DVJ B1Q EQ	C1=C(OC=C(C1=O)O)CO
T6N DVJ A1YZVQ CQ	C1=CN(C=C(C1=O)O)CC(C(=O)O)N
L66 BV EVJ CQ D2UY1&1	CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C
QV11	CCCCCCCCCCCC(=O)O
L6TJ AMVNNO&2G	C1CCC(CC1)NC(=O)N(CCCl)N=O
T67 GMV JN IHJ CG IQ KR BG	C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
T C6656 1A P GN LM CUTT&&T E1Q G	CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)CO
2OV1YVO2 & SPS & O1 & O1	CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC
T5NMV DHJ BR& E1	CC1=NN(C(=O)C1)C2=CC=CC=C2
T6N DNTJ AYR&R DG& D1R C1	CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
GR DO1VO2N1&1	CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl
QVR BMR B1 C1	CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C
QVYZ1R DN2G2G-L	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
QVYZ1R DN2G2G -D	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
L66 BV EVJ C1	CC1=CC(=O)C2=CC=CC=C2C1=O
Q1YQ1OR B1	CC1=CC=CC=C1OCC(CO)O
T5MVNV EHJ C1 E2 ER	CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2
ZVO1X3&1&1OVZ	CCCC(C)(COC(=O)N)COC(=O)N
ZR DQ CVQ	C1=CC(=C(C=C1N)C(=O)O)O
Z2R CO1 DO1 EO1	COC1=CC(=CC(=C1OC)OC)CCN
T C666 BN ISJ ESO&1 B2- BT6NTJ A	CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C
L E5 B666TTT&J E1 FQ F1UU1 OO1	CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC
QVY1&U1	CC(=C)C(=O)O
T6VMVNV FHJ D1 F2 F2	CCC1(C(=O)NC(=O)N(C1=O)C)CC
T66 B6 A B-C 1B I BN DN FN HNTJ	C1N2CN3CN1CN(C2)C3
ZVO1YQ1OR BO1	COC1=CC=CC=C1OCC(COC(=O)N)O
T C566 DO LVOJ BO1	COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
GXGGYR DO1&R DO1	COC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC)C(Cl)(Cl)Cl
GYGXFFO1	COC(C(Cl)Cl)(F)F
T C356 A AK DOTJ A1 A1 HOVYR & 1Q & Q & E	C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C
T66 BSWN EM DHJ C1 D1G HG ISZW	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CCl
QR BVO1	COC(=O)C1=CC=CC=C1O
QVXZ1&1R CQ DQ	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N
WS1&O1	COS(=O)(=O)C
T6MV DVTJ C2 C2 E1	CCC1(C(=O)C(CNC1=O)C)CC
T5N CNJ A2Q B1 ENW	CC1=NC=C(N1CCO)[N+](=O)[O-]
T6NTJ DQ ANU1- ET5N CNJ A1 BNW	CC1=NC=C(N1CCO)[N+](=O)[O-]
T5N CNJA2Q B1 ENW	null
E1YQYQYQYQ1E	C(C(C(C(C(CBr)O)O)O)O)Br
GYGYR BG&R DG	C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
T5NOJ C1Z EQ	C1=C(ONC1=O)CN
2N2 & VR C1	CCN(CC)C(=O)C1=CC=CC(=C1)C
T5VNVJ B2	CCN1C(=O)C=CC1=O
T66 BN EV JNJ B2 DVQ I1	CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O
T6NJ DVMM2VM1R	C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2
WNR CG DMVR BQ EG	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
T67 GMV JN IHJ CNW KR	C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3
QR BQ D1Y1&Y1&1R CQ DQ	CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
L E5 B666 OV MUTJ E FQ F1UU1 -A&F	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
L E5 B666 OV MUTJ E1 F1UU1 QQ	CC12CCC3C(C1CCC2(C#C)O)CCC4=C3CCC(=O)C4
T66 BVOT & J D1 GG IVMYVQ1R & JQ	CC1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)NC(CC3=CC=CC=C3)C(=O)O)Cl
QR BVMR DQ	C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)O)O
L E5 B666TJ A1Q CQ E1 IQ MQ QQ F- DT5OV EHJ& OO- BT6OTJ CQ DQ EQ F1	CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
T67 GMV JN IHJ CG IQ KR	C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O
T C566 DO FO JN MV EHJ J2 LVQ	CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O
T5NVTJ A2UU2- AT5NTJ	C1CCN(C1)CC#CCN2CCCC2=O
1OR CQ DVR	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O
T5VNNV EHJ BR DQ & CR & E4	CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3
ZR CQ DVQ	C1=CC(=C(C=C1N)O)C(=O)O
L6V DVJ	C1=CC(=O)C=CC1=O
Z2R DO1	COC1=CC=C(C=C1)CCN
T66 CNJ B1R CO1 DO1& HO1 IO1	COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
QR DG	C1=CC(=CC=C1O)Cl
GR DG	C1=CC(=CC=C1Cl)Cl
T56 BOV GO IU & TJ FQ	C1C=C2C(=CC(=O)O2)C(O1)O
T5OYMV EHJ BUM ER	C1=CC=C(C=C1)C2C(=O)N=C(O2)N
MUYZR DO5OR DYZUM	C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N
T6VMVMV FHJ FY3&1 F2	CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
T C666 BN ISJ EG B3- AT6N DNTJ D2Q	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
ZVMV1R	C1=CC=C(C=C1)CC(=O)NC(=O)N
2OR DMV1	CCOC1=CC=C(C=C1)NC(=O)C
T6NJ BZ CNUNR& FZ	C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N
T C666 BN INJ	C1=CC=C2C(=C1)N=C3C=CC=CC3=N2
L56 BV DV CHJ CR	C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O
T6NJ BYR&2N1&1	CN(C)CCC(C1=CC=CC=C1)C2=CC=CC=N2
T6VMVMV FHJ F2 FR	CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2
T56 BVO DHJ D- D-/R DQ 2	C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O
ZVO3R	C1=CC=C(C=C1)CCCOC(=O)N
O-AS-R	C1=CC=C(C=C1)[As]=O
T5VNNV EHJ BR& CR& E4	CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3
WSF1R	C1=CC=C(C=C1)CS(=O)(=O)F
T5N CSJ BMSWR DMVR BVQ	C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O
T6M DMTJ	C1CNCCN1
T6N DNTJ AV2E DV2E	C1CN(CCN1C(=O)CCBr)C(=O)CCBr
T66 BSWN EM DHJ C1 D1S1XFFF HG ISZW	CN1C(NC2=CC(=C(C=C2S1(=O)=O)S(=O)(=O)N)Cl)CSCC(F)(F)F
KA G	[Cl-].[K+]
KA I	[K+].[I-]
T67 GNV JN IHJ CG KR& G1- AL3TJ	C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4
T66 BNJ HO1 JMY1&3Z	CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2
T6MV DVMTJ C2 CR	CCC1(C(=O)NCNC1=O)C2=CC=CC=C2
QVR DSWN3&3	CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O
ZR DVM2N2&2	CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
ZR DVO2N2&2	CCN(CC)CCOC(=O)C1=CC=C(C=C1)N
T5NTJ A2XQR&- AL6TJ	C1CCC(CC1)C(CCN2CCCC2)(C3=CC=CC=C3)O
T C666 BN ISJ B3N1&1	CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
T C666 BN ISJ BY2&N1&1	CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31
T C666 BN ISJ B1Y1&N1&1	CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C
T6N CN ENJ BO1 DMY1&1 FMY1&1	CC(C)NC1=NC(=NC(=N1)OC)NC(C)C
T6N CN ENJ BS1 DMY1&1 FMY1&1	CC(C)NC1=NC(=NC(=N1)SC)NC(C)C
GR BG DMV2	CCC(=O)NC1=CC(=C(C=C1)Cl)Cl
T6N CN ENJ BMY DMY FG	CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C
QR BQ CQ EVO3	CCCOC(=O)C1=CC(=C(C(=C1)O)O)O
T6N DVJ A1VO3 CI EI	CCCOC(=O)CN1C=C(C(=O)C(=C1)I)I
T6NJ BN2N1&1&1R DO1	CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2
T6NJ DN1R DO1&2N1&1	CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2
T6N CNJ BZ DZ ER DG& F2	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
QYR & Y1 & M1	CC(C(C1=CC=CC=C1)O)NC
QYR&Y1&M1	CC(C(C1=CC=CC=C1)O)NC
QR CQ	C1=CC(=CC(=C1)O)O
WNR BQ E-AS-QQO	C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O
T56 BSWMVJ	C1=CC=C2C(=C1)C(=O)NS2(=O)=O
T56 BO DO CHJ G2U1	C=CCC1=CC2=C(C=C1)OCO2
ZVR BQ	C1=CC=C(C(=C1)C(=O)N)O
QV8VQ	C(CCCCC(=O)O)CCCC(=O)O
T6N CNJ BMSWR DZ	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
T6N CN ENJ BM2 DM2 FG	CCNC1=NC(=NC(=N1)Cl)NCC
NA G	[Na+].[Cl-]
NA F	[F-].[Na+]
NA I	[Na+].[I-]
QV1I	C(C(=O)O)I
T6N DXTJ A3VR DF& D-& CT5MVXN EHJ DR	C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F
QV17	CCCCCCCCCCCCCCCCCC(=O)O
T6 G656 B7 C6 E5 D 5ABCEF A& FX MNV QO VN SU AHT&&TTTTJ	C1CN2CC3=CCOC4CC(=O)N5C6C4C3CC2C61C7=CC=CC=C75
ZR DSWMV1	CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
ZR DSWMYZUM	C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N
T6N CNJ BMSWR DZ& D1 F1	CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C
T5NOJ C1 EMSWR DZ	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
ZSWR DZ	C1=CC(=CC=C1N)S(=O)(=O)N
T6NJ BMSWR DZ	C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N
T66 BN ENJ CMSWR DZ	C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N
T5N CSJ BMSWR DZ	C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2
T5VNNV EHJ BR& CR& E2SO&R	C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4
T5NOJ CMSWR DZ& D1 E1	CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N
L66J BSWQ DSWQ GSWQ JMVR D1 CMVR CMVMR CVMR B1 EVM-JL66J BSWQ DSWQ GSWQ &-NA-6	CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C
T67 GNV JN IHJ CG G1 IQ KR	CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
L E5 B666 OV MUTJ A1 E1 FQ	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C
T56 BVNVJ C- DT6VMVTJ	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
T56 BVNVJ C- DT6VMVTJ -D	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
T56 BVNVJ C- DT6VMVTJ -L	C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O
T56 BN DN FNVMVJ B1 F1	CN1C=NC2=C1C(=O)NC(=O)N2C
T56 BM DNJ C-ET5N CSJ	C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
T5SVMV EHJ	C1C(=O)NC(=O)S1
SHR BVQ	C1=CC=C(C(=C1)C(=O)O)S
Q2S2Q	C(CSCCO)O
T3NTJ APS&- AT3NTJ&- AT3NTJ	C1CN1P(=S)(N2CC2)N3CC3
1N1 & YUS & SSYUS & N1 & 1	CN(C)C(=S)SSC(=S)N(C)C
T6NJ CVN2&2	CCN(CC)C(=O)C1=CN=CC=C1
T7NTJ AMVMSWR D1	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2
T5M CN BUTJ B1R	C1CN=C(N1)CC2=CC=CC=C2
4MVMSWR D1	CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C
T6NTJ A1Y1&VR D1	CC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2
L6TJ AVQ D1Z -T	C1CC(CCC1CN)C(=O)O
T5NTJ A2UU2- AT5NTJ	C1CCN(C1)CC#CCN2CCCC2
1VO1YOV1 & 1OV1	CC(=O)OCC(COC(=O)C)OC(=O)C
T66 BN DN GN JNJ CZ EZ HR& IZ	C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N
EYEE	C(Br)(Br)Br
T66 BSWM EM DHJ DYGG HG ISZW	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)NC(N2)C(Cl)Cl
G2N2G2G	C(CCl)N(CCCl)CCCl
Z2M2M2Z	C(CNCCNCCN)N
T6NTJ A3VR DF& DQ DR CXFFF	C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F
T5OVNV EHJ C1 E1 E1	CC1(C(=O)N(C(=O)O1)C)C
T6N CNJ BZ DZ E1R CO1 DO1 EO1	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
T6NJ BN1R&2N1&1	CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2
T6NJ BN1R&2N1&1 &GH	CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2
ZY5 & 1	CCCCCC(C)N
T56 BN GN INJ FZ I- BT5OTJ CQ DQ E1Q	C1=CN(C2=NC=NC(=C21)N)C3C(C(C(O3)CO)O)O
Z2R DQ	C1=CC(=CC=C1CCN)O
QV9U1	C=CCCCCCCCCC(=O)O
ZVO2	CCOC(=O)N
T B656 CV EV HO FU BHT & JB1 DV1 KQ L1 MQ	CC1=C(C(=C2C(=C1O)C3(C(=CC(=O)C(C3=O)C(=O)C)O2)C)C(=O)C)O
T-36-MV DOV GMV JOV MMV POV SMV VOV B&MV E&OV H&MV K&OVTJ CY1&1 FY1&1I1 LY1&1 OY1&1 RY1&1 U1 A&Y1&1 D&Y1&1 G&Y1&1 J&1 M&Y1&1	CC1C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)OC(C(=O)NC(C(=O)O1)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C(C)C
T D6 B5666 2AB S CN MN&&TTTJ Q2 SVO1 SQ	CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O
T66 BNJ CVQ EQ JQ	C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O
ZN G2	Cl[Zn]Cl
L E5 B666 OV KU MUTJ A1 BF CQ E1 FV1Q FQ G1	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
L E5 B666 OV MUTJ A CQ E FV1OV1 FQ -B&ACEF	CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)O
T D3 B556 BN EM JV MVTTT&J GO1 H1OVZ KZ L1	CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
T6NTJ A1 DVO2 DR &GH	CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl
ZVO1XQ2&R	CCC(COC(=O)N)(C1=CC=CC=C1)O
L E5 B666 OV MUTJ A1 CQ E1 FV1Q	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C)O
L E5 B666TTT&J E1 FQ GQ OQ	CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
L E5 B666TTT&J E1 FQ OQ	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
QVR BG FG	C1=CC(=C(C(=C1)Cl)C(=O)O)Cl
QVR BG CG FG	C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl
2N2&2OVYR&R &GH	CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2.Cl
T F6 D5 C666 EM ON&&TTTJ HO1 SOVR CO1 DO1 EO1& TO1 UVO1	COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
T6MVMVVVJ	C1(=O)C(=O)NC(=O)NC1=O
QVR BG EG	C1=CC(=C(C=C1Cl)C(=O)O)Cl
QVR BG DG EG	C1=C(C(=CC(=C1Cl)Cl)Cl)C(=O)O
QVR BG DG	C1=CC(=C(C=C1Cl)Cl)C(=O)O
T56 BO DO CHJ G3 H1O2O2O4	CCCCOCCOCCOCC1=CC2=C(C=C1CCC)OCO2
T56 BM DNJ	C1=CC=C2C(=C1)NC=N2
T6N CN ENJ B- AT3NTJ& D- AT3NTJ& F- AT3NTJ	C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4
ZR BQ	C1=CC=C(C(=C1)N)O
GR BG DYQ1MY &GH	CC(C)NCC(C1=CC(=C(C=C1)Cl)Cl)O.Cl
QR BQ DYQ1MY1&1 &GH	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl
QVR CG DG	C1=CC(=C(C=C1C(=O)O)Cl)Cl
1N1&VOR CK1&1&1 &Q &OSW1	CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.COS(=O)(=O)[O-]
ZY1&1R	CC(CC1=CC=CC=C1)N
ZY1&1R -D	CC(CC1=CC=CC=C1)N
1VMR DO1	CC(=O)NC1=CC=C(C=C1)OC
1N1&1N1&1	CN(C)CN(C)C
1N1&YUS&S1N1&1	CN(C)CSC(=S)N(C)C
ZVO2K1&1&1 &Q &G	C[N+](C)(C)CCOC(=O)N.[Cl-]
L E5 B666 OV MUTJ E FOV1 F1UU1 -B&EF	CC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C)C#C
L E5 B666 FX OV MUTJ A1 E1 KSV1 F-& CT5VOXTJ	CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
T6MVMVXVJ E-& CT6-SI- CXTJ A1 A1 D2	CCC1CC[Si](CC12C(=O)NC(=O)NC2=O)(C)C
T6MVMVXVJ E-& CT6-SI- CXTJ A1 A1	C[Si]1(CCCC2(C1)C(=O)NC(=O)NC2=O)C
T6VMVMV FHJ F2U1 F2U1	C=CCC1(C(=O)NC(=O)NC1=O)CC=C
T6NPNPNPJ B- AT3NTJ& B- AT3NTJ& D- AT3NTJ& D- AT3NTJ& F- AT3NTJ& F- AT3NTJ	C1CN1P2(=NP(=NP(=N2)(N3CC3)N4CC4)(N5CC5)N6CC6)N7CC7
T6MVMVXVJ E-& CT6-SI- CXTJ A1 A1 D1	CC1CC[Si](CC12C(=O)NC(=O)NC2=O)(C)C
T7-SI- CXTJ A1 A1 C-& ET6MVMVXVJ	C[Si]1(CCCCC2(C1)C(=O)NC(=O)NC2=O)C
GXGGYQPO&O1&O1	COP(=O)(C(C(Cl)(Cl)Cl)O)OC
L E5 B666 CV OV AHTTT&J A1 E1 FV1Q FQ	CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C
T C666 BO IHJ IVO2K2&2&1 &Q &E	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13.[Br-]
T C666 BN ISJ B3N1&1 &GH	CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31.Cl
L G6 D6 B666J	C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32
L B656 HHJ ENQV1	CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)O
L B656 HHJ EMV1	CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2
T6MVMVJ EXFFF	C1=C(C(=O)NC(=O)N1)C(F)(F)F
T6NVMVJ EI A- ET5OTJ B1Q CQ	C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O
T5OVTJ C2 D1- DT5N CNJ C1 &GH	CCC1C(COC1=O)CC2=CN=CN2C.Cl
T6K DNTJ A1 A1 DR &Q &I	C[N+]1(CCN(CC1)C2=CC=CC=C2)C.[I-]
1N1&R C1 DNUNR	CC1=C(C=CC(=C1)N(C)C)N=NC2=CC=CC=C2
T57 ANNNN&TJ	C1CCC2=NN=NN2CC1
T6NJ CZ DZ	C1=CN=CC(=C1N)N
ONN2&2	CCN(CC)N=O
Z1YQR CQ DQ &GH -R	C1=CC(=C(C=C1C(CN)O)O)O.Cl
G2N1R&1R &GH	C1=CC=C(C=C1)CN(CCCl)CC2=CC=CC=C2.Cl
