Z1YQ1	CC(CN)O
T66 BM CHJ C1 C1 E1 HO2	CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C
T56 BN DSJ CSZW GO2	CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N
1U2R DQ CO1	COC1=C(C=CC(=C1)CC=C)O
T6NVMVJ EF A- ET5OTJ B1Q CQ	C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
T6MVNJ DZ EF	C1=NC(=O)NC(=C1F)N
QVR BMR CXFFF	C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F
T6MVMVJ EF	C1=C(C(=O)NC(=O)N1)F
T C666 BN ISJ EXFFF B3- AT6N DNTJ D2OV9	CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
T66 BN DN GN JNJ CZ EQ H1MR DVMYVQ2VQ	C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N
QVR BOPQQO	C1=CC=C(C(=C1)C(=O)O)OP(=O)(O)O
T5OJ B1Z	C1=COC(=C1)CN
