2VVO2	CHEMBL170142
ZSWO10OSWZ	CHEMBL171476
QVV2	CHEMBL171246
ZV1S1VZ	CHEMBL171496
VH1	CHEMBL170365
1U2S2U1	CHEMBL170458
Q4Q	CHEMBL171623
1SWO2OSW1	CHEMBL170630
ZV1O1	CHEMBL170742
5VVO2	CHEMBL171823
ZSWO2OSWZ	CHEMBL173740
ZV5Q	CHEMBL172228
QV1MV1MV1	CHEMBL174085
ZV3Q	CHEMBL174258
QV1MV1MV1MV1	CHEMBL174291
2OVV1	CHEMBL173373
G1V1VO1	CHEMBL173804
Z3M5V1	CHEMBL173782
QV17MVM2	CHEMBL3325571
Z6MV1G	CHEMBL174887
QV16U1I	CHEMBL174302
ZV4Q	CHEMBL174400
Z3Z	CHEMBL174324
Z3M1	CHEMBL174165
QV3SCN	CHEMBL175400
2U1SW1U2U2U1	CHEMBL175585
Z8MVO1	CHEMBL176764
Q4SCN	CHEMBL176782
NCS2CN	CHEMBL177036
Z8MV1	CHEMBL174669
1M3M1	CHEMBL174776
Z1V1Z	CHEMBL175201
3M4MV1	CHEMBL176530
Z4M3MV1	CHEMBL176800
2OV1VO2	CHEMBL177114
Z6MV1	CHEMBL177305
Q5SCN	CHEMBL176455
Z4MV3	CHEMBL177217
Z10MV1	CHEMBL177890
10SWMV1	CHEMBL178444
2OV2V1U1VO2	CHEMBL178492
QVV1E	CHEMBL177837
Z8MSW1	CHEMBL177777
Z5V1	CHEMBL176843
2U1V1U2U2U1	CHEMBL178037
QV4U3U3U3U3U3U3	CHEMBL179853
3U3U3U3U3U3U1V2VO1	CHEMBL180696
3U3U3U3U3U3U4VO1	CHEMBL180898
Q10OVM4	CHEMBL181435
4MVO5OVM4	CHEMBL181867
Q8OVM4	CHEMBL181445
QV16UU1	CHEMBL182310
QV2V1U3U3U3U3U3U3	CHEMBL180338
ZSWO16OSWZ	CHEMBL181753
Q12OVM4	CHEMBL182696
Q5OVM4	CHEMBL182596
Q16OVM4	CHEMBL184316
ZSWO6OSWZ	CHEMBL182276
ZSWO8OSWZ	CHEMBL182455
ZSWO7OSWZ	CHEMBL182440
QVV4VQ	CHEMBL185075
4MVO14OVM4	CHEMBL185164
Q2MV9U9	CHEMBL183985
Q14OVM4	CHEMBL183394
N1	CHEMBL183419
I	CHEMBL185537
F	CHEMBL1362
4MVO10OVM4	CHEMBL185000
4MVO12OVM4	CHEMBL184946
18VM3M3M4M3M3MV18	CHEMBL188388
WNO3	CHEMBL188554
QV1S14	CHEMBL187734
Z2OV4U3U3U3U6	CHEMBL187349
ZSW8	CHEMBL1076894
Z3M4M3M3MV16	CHEMBL189678
QV15MVM2	CHEMBL3325569
QV16MVM2	CHEMBL3325570
QV15MVM3	CHEMBL3325572
QV15MVM4	CHEMBL3325573
VH8U9	CHEMBL190707
Q2G	CHEMBL191244
QV15MV3	CHEMBL3325575
QV15OVM2	CHEMBL3325576
11VM3M3M4M3M3MV11	CHEMBL192406
FSW18	CHEMBL191481
Z3M4M3M3MV1	CHEMBL191829
Z3M4M3M3MV18	CHEMBL191610
14VM3M3M4M3M3MV14	CHEMBL192094
Z3M4M3M3MV9	CHEMBL192931
Q2VV1	CHEMBL193495
QMSWM10	CHEMBL193635
2VV1	CHEMBL192809
9VM3M3M4M3M3MV9	CHEMBL192736
1V1V1	CHEMBL191625
8VM3M3M4M3M3MV8	CHEMBL193060
Z7VOM7VQ	CHEMBL194410
4V1	CHEMBL195861
QMSWM12	CHEMBL195370
Z7VQ	CHEMBL196105
18SWM3M3M4M3M3MSW18	CHEMBL196566
ZSWMQ	CHEMBL195540
12OV5OVM5VO12	CHEMBL198817
Z2O2O1VOM2O2O1VQ	CHEMBL199155
4MSWM2VO1	CHEMBL199831
6U3U3U3U5MV2	CHEMBL199911
6U3U3U3U4MV3	CHEMBL201758
6U3U3U3U5MV3	CHEMBL201260
2M4M4M4M4M2U2M4M4M4M4M2	CHEMBL226102
Q2MOV4U3U3U3U6	CHEMBL203380
12OV5MVO8	CHEMBL203229
12OV5MVO10	CHEMBL202630
12MV5OVO5VM12	CHEMBL204920
Q2VM4U3U3U3U6	CHEMBL203474
9MV4OVO2	CHEMBL205507
12OV5OVO5VO12	CHEMBL205749
10OVO5VM10	CHEMBL204373
10MV5OVO2	CHEMBL204945
Q2MOV15	CHEMBL205272
12OV5OVO2	CHEMBL207326
9U8VVM3VO1	CHEMBL207330
7U1V1	CHEMBL206566
Q2OMV15	CHEMBL205609
12OVO5VM10	CHEMBL208308
12OVM5VO12	CHEMBL208480
13VO1	CHEMBL207549
13VO2	CHEMBL207555
13VO8	CHEMBL206634
13VO4	CHEMBL206900
12OV6OVM5VO12	CHEMBL208217
13VO5	CHEMBL208141
12OVO5VO12	CHEMBL208072
Q2OMV8U9	CHEMBL208270
13VO3	CHEMBL207607
13VO6	CHEMBL207532
QV3MVV8U9	CHEMBL207848
13VM4	CHEMBL210518
Z3M4M3MSW8	CHEMBL218232
Z3M2U2M3MSW12	CHEMBL217906
Z1VMQ	CHEMBL216796
10SWM3M3M4M3M3MSW10	CHEMBL217939
ZSWM14	CHEMBL219047
Z3M3M3MSW12	CHEMBL219221
Z3M2U2M3MSW8	CHEMBL218112
Z3M4M3MSW18	CHEMBL218282
Z3M4M3M3MSW8	CHEMBL218283
Q2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O2O15	CHEMBL217742
Z2VMQ	CHEMBL218945
ZSWM12	CHEMBL219033
18MSWM3	CHEMBL219156
Z3M4M3MSW12	CHEMBL218434
Z2M3M2MSW8	CHEMBL218599
ZSWM18	CHEMBL218794
ZSWM16	CHEMBL218795
Z3M4M3M3MSW18	CHEMBL220552
Z3O4O3MSW16	CHEMBL222162
Z3M4M3M3MSW10	CHEMBL221242
Z3M4M3M3MSW12	CHEMBL221243
12SWM3M3M4M3M3MSW12	CHEMBL221682
Z2O2O2MV17 &GH	CHEMBL224650
QV1MV15	CHEMBL226117
QV1MV8U9	CHEMBL226118
QV1MV8U3U6	CHEMBL225745
QV1MV5U3U3U6	CHEMBL225746
E2U1U1	CHEMBL226728
QV1MV10U3U6	CHEMBL227508
2M4M4M4M2U2M4M4M4M2	CHEMBL227865
4MSWM4	CHEMBL229137
Z9UU5Z	CHEMBL229309
Z14Z	CHEMBL229246
3MSWM3	CHEMBL229740
Q2U1U1	CHEMBL230163
QVM5VO12 &Z4VO12	CHEMBL234725
Q2U1	CHEMBL234926
3SWM3MSW3	CHEMBL235388
3SWM4MSW3	CHEMBL235390
4SWM2MSW4	CHEMBL235610
4SWM3MSW4	CHEMBL236885
4SWM5MSW4	CHEMBL236886
