T56 A DOTJ	O1CC2CC1CCC2	
T56 A FOTJ	O1C2CC(CC2)CC1	
T67 A DMTJ	N1CC2CC(C1)CCCC2	
L666/GL 2AF LTJ	C12CCCCC1C1CCC2CC1
L556/EK 2AE K EXTJ	C123C(CCC1)C(CCC2)CC3	
L5 G66 N66/FS 2AE STJ	C12CCCC1C1C3CCCCC3C2C2CCCCC12	
L646/B-F/BI A A 2BF I BX FXTJ	C123CC(CCC1)(CCC2)C3	
L D55 D6 2DH L DX HXTJ	C123C(CCC1)(CCC2)CCCC3	
L566 F6/FK/FO 3AEF O FXTJ	C123C4C(CCC4)C(CC1)CC2CCCC3	
L535 B5/CG 3ABC ITJ	C12C3C4CC1C2C4CC3
T C655 A ASJ	s1c2c3ccccc3c1cc2
T C655 A AM EO GO FHJ	[nH]1c2c3COCOc3c1cc2
L D6 C555 A AH JHJ	C1=C2C3C(=C1C=C2)c1ccccc1C3
T C555 B6 A 1B N AOX EOJ	O1C23c4cocc4C1=CC2=CC=CC3		
T57 B5 A 1B L BXOTJ	C123OCC(C1)CCCC2CCC3	
T C6566 N6 O 1A S IN QN AU PUTJ	N12C3=C(C4CCCCC14)C1=NCCC(C3CCC2)C1	
T D3556 J5 K 2AF N EOX HO NO GH KHJ	O1C23C4=C(C=C12)C1=COC(=C4OC3)C1
T666 B 1A L DOTJ	O1C2CC3C(C1)CCCC3CC2	
T76 B6 A C 1B L EO FHTJ	O1C2CC3CC(C1)CCC3CC2	
L666/GL 2AF LTJ	C12CCCCC1C1CCC2CC1	
L C66 L666/KT 2AJ TTJ	C12CC3CCCCC3CC1C1C3CCCCC3C2CC1	
T C66 L56 R66/KW 2AJ W NOTJ	O1CC2C3C4C(CC5CCCCC5C4)C(C2C1)C1CCCCC31	
T D666 C6 A B 1C P CX JU NH&TT&J	C123CCC(=CC2=CCC=C3)c2c1cccc2
T6 G5 F66 C6 A B 2CF S AOOX FX IOTJ	O1OC23CCC41C1COCC1CCC4C2CCCC3	
T566 F5/FK/FN 3AEF N CO FXTJ	O1CC2C(C34CCC2CC3CCC4)C1	
T5536/FK 3AAE K AX COTJ	C123COCC1C1CC2C3CC1
L6 H665/FP 2AF P FXTJ	C123C(CCCC1)C(C1C(C2)CCCC1)CC3	
T54 H5 B6 B6/GO A 3BBF O BX GN AH&&&&TJ	C123C=C(C=C1)C2N1C2=CC=CC2=C3CC1
T B666/GL A 2BG L GXOO JHTJ	C123OOC(CC1CCCC2)CC3		
L F5 E5 C655 A F-TJ	C1C2C3CC4C5CCC(C4CC3C1CC2)C5
L E5 D5 C555 A E-TJ	C1C2C3C4C5CCC(C4CC3C1CC2)C5
L F5 E5 D5 C555 A D- F-TJ	C1C2C3C4C5C6CCC(C5C(C3C1CC2)C4)C6
L55 F6 F6/BG/HM A 2FG MTJ	C1C2CCC1C1C2C2CCC1CC2
L C656 M6 J5 A KTJ	C1C2C3CCCCC3C1C1CC2C2CCCCC12
L E6 D58 N65 A D-TJ	C1C2CC3C4CCCCC4C(CC1C1CCCCC21)C3
L C657 N6 K5 A LTJ	C1C2C3CCCCC3C1CC1CC2C2CCCCC12
L66 B6 A B- C 1B ITJ	C1C2CC3CC1CC(C3)C2	
T66 B6 A B- C 1B I BN DN FN HNTJ	N12CN3CN(C1)CN(C3)C2	
T66 B6 A B- C 1B ITJ BE	C1C2(CC3CC1CC(C3)C2)Br	
L555/BG 2AB ITJ	C12C3CCC1CC3CC2
T566/BH 2AB K AN JMTJ	N12C3CCC1CCC3CNC2
L545/BF 2AB HTJ	C12C3CCC1C3CC2
T555/BG 2AB I DOTJ	O1CC2C3C1CC2CC3
T C3666/FM 2AG M DO LOTJ	O1C2CC3C4C(C12)COC3CCC4	
T B5565/GM 2AH M IO KOTJ	O1C2C3C4CCCC4C2CC3OC1	
T666 B C 1A K EOTJ	O1C2CCC3C1CCCC3C2		
L666 B C 1A K EHTJ	C12CCC3CC1CCCC2C3	
T756/EK F 2AG K HOTJ	O1C2C3CCCC(C2)CC3C1		
T B4656/FL 3ABE L IOTJ	O1C2C3C4CCC4C(C2)CC3C1	
T B66 L667/HT 3ABG T KM RKHOSTJ	N1C2C3[N+](OSC(C4C3CCCC4)C2)(C2C1CCCC2)C	
T C6 B666/JO A 2BK O AOTJ	O1C2C3CCCCC3CC3C2CCC1C3	
T76 B6 A C 1B L EOTJ	O1C2CC3CC(C1)CCC3CC2	
T D5 B665 A 1B N EO GO MNOTJ	O1C2C3ON4CC3C(CC2OC1)CC4	
T E6 D566 B5 A C 2BD Q AM DX HMTJ	N1C2CC34C5CCNCC5CC3C1CCC2C4
T B6 B6566 E5/FR 5ABBFG T BX EN LOTJ	C123C4C5OC3CCCC2C2N(CC1)CCC2C4CCC5
T-11-56/IO J 2AK O ANOSO HO MHTJ	N12OSOCCCOC3CC1CCC2C3	
L435 B3 2AB GTJ	C12C3C4C1C2CC34	
T655 C6 B D 2AC L BOTJ	O1C2C3C4CC1C(C2CC3)CC4	
T C55 F555 B5 D I 5ABCGH M LOTJ	O1C2C3C4C5CC(C6C5C3CC26)C14	
L B4 F6 D7 C4 L676 M P 4CDNO VTJ	C12C3C4C5C3C3CCCCC3C3CC5C4CC3C1CCCC2
L55 F56 B5 C G I 3ABH LTJ	C12C3CC4C1C1CC2CC1C3C4	
T665 C5/EK D 3AEF L DO GO JNTJ	O1C2CC3N4CCOC3C1C4C2
T C5 B5535/HL 3ABI L EOTJ	O1CC2C3C4C5CC3C(C2C1)C45	
L455 B5 C5 E5 F 6ABCDEG LTJ	C12C3C4C1C1CC2C2C3CC4C12	
L B5 E3555 C 3ABF KTJ	C12C3CC4C5C3C5C1CCC24	
L545 B4 C5 D 4ABCE JTJ	C12C3C4CC1C1C2CC3C41	
